Posted_date,Job Title from List,Job Title,Company,Company Logo URL,Country,Location,Skills,Salary Info,Source
11/29/2024,DevOps Engineer,Hiring a DevOps Engineer for a Digital Content Startup,Human In Search,company Logo,South Korea,"Seongdong-gu, Seoul","DevOps, Network, Linux, Infrastructure, Cloud",N/A,saramin.co.kr
11/26/2024,DevOps Engineer,DevOps Engineer Recruitment Experience,Infograbyou,company Logo,South Korea,"Gyeonggi-do, Gyeonggi-do Seongnam-si","SE System Engineer, DevOps, Infrastructure, Solutions, Cloud",N/A,saramin.co.kr
11/29/2024,DevOps Engineer,devops system engineer,Jooebiztech,company Logo,South Korea,"Mapo-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Linux, Maintenance, Infrastructure",N/A,saramin.co.kr
11/29/2024,DevOps Engineer,DevOps Engineer,Juthor Drive,company Logo,South Korea,"All of Seoul, Yeongdeungpo-gu, Seoul","SE System Engineer, DevOps, Network, Infrastructure, C",N/A,saramin.co.kr
12/09/2024,DevOps Engineer,DevOps Engineer,Main data maker,company Logo,South Korea,"Daejeon whole, Daejeon Yuseong-gu","SE System Engineer, DevOps, Network, Linux, Infrastructure",N/A,saramin.co.kr
11/27/2024,DevOps Engineer,DevOps engineer experience of 3+ years,Jukrebus,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Network, Linux, Infrastructure",N/A,saramin.co.kr
12/06/2024,DevOps Engineer,Hiring DevOps Engineer Experienced Staff,MS Korea,company Logo,South Korea,Incheon Gyeyang-gu map,"DevOps, Solutions, Web Development, App Development, Outsourcing",N/A,saramin.co.kr
12/01/2024,DevOps Engineer,DevOps Engineer,Juklassing,company Logo,South Korea,"Gangnam-gu, Seoul","DevOps, Infrastructure, Cloud, AWS, Architecture",N/A,saramin.co.kr
10/21/2024,DevOps Engineer,Cloud EngineerDevOps Engineer Recruitment 1+ years of experience,"MTDATA Co., Ltd.",company Logo,South Korea,"Map of Bundang-gu, Seongnam-si, Gyeonggi-do","SE System Engineer, Solutions, Technical Support, Cloud, Python",N/A,saramin.co.kr
12/09/2024,DevOps Engineer,Cloud construction and DevOps Engineer in AWS environment at Daewoong Pharmaceutical Partner,Jubibi Partners,company Logo,South Korea,"Map of Bundang-gu, Seongnam-si, Gyeonggi-do","SE System Engineer, DevOps, Network, Maintenance, Infrastructure",N/A,saramin.co.kr
11/14/2024,DevOps Engineer,DevOpsMLOps Engineer Senior,"Wearable AI Co., Ltd.",company Logo,South Korea,"Incheon Gyeyang-gu, Incheon as a whole","SE System Engineer, DevOps, Linux, Infrastructure, Cloud",N/A,saramin.co.kr
11/26/2024,DevOps Engineer,IT Engineer DevOps Infra Lead,Robert Walters Korea Ltd.,company Logo,South Korea,"Jung-gu, Seoul","DevOps, Infrastructure, Cloud, AWS, Docker",N/A,saramin.co.kr
10/28/2024,DevOps Engineer,Senior DevOps Engineer,Jurakuten Symphony Korea,company Logo,South Korea,"Map of Seocho-gu, Seoul","DevOps, Maintenance, Infrastructure, Python, AWS",N/A,saramin.co.kr
11/18/2024,DevOps Engineer,Hiring a DevOps Engineer,"Bespin Global Co., Ltd.",company Logo,South Korea,"Map of Seocho-gu, Seoul","DevOps, Infrastructure, Cloud, Python, Java",N/A,saramin.co.kr
12/06/2024,DevOps Engineer,키퍼 DevOps Engineer,Hanwha Vision stock,company Logo,South Korea,"Gyeonggi-do, Gyeonggi-do Seongnam-si","SE System Engineer, DevOps, Infrastructure, Cloud, Web Development",N/A,saramin.co.kr
12/04/2024,DevOps Engineer,QA EngineerDevOps Engineer Recruitment,Brand Engagement Network Inc. Sales Office,company Logo,South Korea,"Map of Yongsan-gu, Seoul","DevOps, Linux, Solutions, Cloud, Python",N/A,saramin.co.kr
11/19/2024,DevOps Engineer,Recruitment for DevOps Infra Engineer position,Legal framework,company Logo,South Korea,"Map of Seongdong-gu, Seoul","SE System Engineer, DevOps, Network, Linux, Infrastructure",N/A,saramin.co.kr
12/02/2024,DevOps Engineer,Wearable Medical Device DevOps Engineer,Jubibi Partners,company Logo,South Korea,"Map of Gangnam-gu, Seoul","DevOps, Network, Infrastructure, AWS, Kubernetes",N/A,saramin.co.kr
11/18/2024,DevOps Engineer,DevOps Engineer,Pasto,company Logo,South Korea,"Map of Gangnam-gu, Seoul","DevOps, Infrastructure, Cloud, C, Web Development",N/A,saramin.co.kr
12/09/2024,DevOps Engineer,DevOps Engineer working in Japan,"Organize Korea Co., Ltd.",company Logo,South Korea,Other Overseas,"SE System Engineer, DevOps, Linux, Infrastructure, Cloud",N/A,saramin.co.kr
12/09/2024,DevOps Engineer,DevOps Engineer,"Organize Korea Co., Ltd.",company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Linux, Infrastructure, Cloud",N/A,saramin.co.kr
12/09/2024,DevOps Engineer,Customer Onprem Engineer DevOps,"Organize Korea Co., Ltd.",company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Network, Linux, Infrastructure",N/A,saramin.co.kr
12/06/2024,DevOps Engineer,Medical Device Startup DevOps Engineer Assistant Manager Manager Level Wanted Good Career,Good Career,company Logo,South Korea,"Map of Gangnam-gu, Seoul","DevOps, Network, Infrastructure, Cloud, Big Data",N/A,saramin.co.kr
12/03/2024,DevOps Engineer,DevOps Engineer Medical Device Manufacturer,Main KYCG,company Logo,South Korea,"Bundang-gu, Seongnam-si, Gyeonggi-do","DevOps, Network, Infrastructure, AWS, Healthcare",N/A,saramin.co.kr
12/06/2024,DevOps Engineer,DevOps Engineer,Different HR,company Logo,South Korea,"Map of Bundang-gu, Seongnam-si, Gyeonggi-do","DevOps, network, infrastructure, AWS, backend server development",N/A,saramin.co.kr
11/08/2024,DevOps Engineer,ST Unitas Cloud Engineer Team Level Talent Recruitment,JUSTUNITAS,company Logo,South Korea,"Guro-gu, Seoul","DevOps, Infrastructure, Cloud, Python, AWS",N/A,saramin.co.kr
12/10/2024,DevOps Engineer,Daejeon Engineer Server Storage Security Solution Virtualization,Joo Tech Eye,company Logo,South Korea,Daejeon Seo-gu Map,"SE System Engineer, DevOps, Maintenance, Solutions, Cloud",N/A,saramin.co.kr
12/09/2024,DevOps Engineer,Recruitment for development and maintenance of our own solution system,Main data load,company Logo,South Korea,"All of Seoul, Yeongdeungpo-gu, Seoul","SE System Engineer, DevOps, Network, Linux, Maintenance",N/A,saramin.co.kr
10/29/2024,DevOps Engineer,German automotive IT company Yongsan vehicle communication software engineer,Joovector Korea IT,company Logo,South Korea,"Map of telecommuting available in Yongsan-gu, Seoul","DevOps, Solutions, Technical Support, Python, C",N/A,saramin.co.kr
12/07/2024,DevOps Engineer,AWS KT Naver Cloud Managed Technology Operations TA AA Recruitment,Jewell Data Systems,company Logo,South Korea,"Map of Gangnam-gu and Guro-gu, Seoul","SE System Engineer, DevOps, Network, Cloud, AWS",N/A,saramin.co.kr
12/07/2024,DevOps Engineer,Night shift technical operation AWS Aznure KT Naver cloud managed,Jewell Data Systems,company Logo,South Korea,"Map of Gangnam-gu and Guro-gu, Seoul","SE System Engineer, DevOps, Network, Cloud, AWS",N/A,saramin.co.kr
10/21/2024,DevOps Engineer,Backend Development BlockchainWeb3Wallet,ZOOIOTRUST,company Logo,South Korea,"Map of Gangnam-gu, Seoul","DevOps, Linux, AWS, Backend Server Development, Nodejs",N/A,saramin.co.kr
02/15/2024,DevOps Engineer,Backend Developer Nodejs,Jukyupist,company Logo,South Korea,"Map of Gangnam-gu, Seoul","DevOps, Cloud, Python, Java, AWS",N/A,saramin.co.kr
12/07/2024,DevOps Engineer,Azure AKS Cloud Managed Technology Operations TA AA Recruitment,Jewell Data Systems,company Logo,South Korea,"Map of Gangnam-gu, Seoul","SE System Engineer, DevOps, Network, Cloud, AWS",N/A,saramin.co.kr
12/10/2024,DevOps Engineer,Recruitment for SRE position at KOSDAQ listed company,Judy you,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Infrastructure, Linux, Cloud",N/A,saramin.co.kr
10/21/2024,DevOps Engineer,Smileshark Pre-Sales Engineer Experience Position Wanted,Smile Shark Joo,company Logo,South Korea,"Map of Gangnam-gu, Seoul","DevOps, Infrastructure, Cloud, AWS, IT Consulting",N/A,saramin.co.kr
10/14/2024,DevOps Engineer,Career Technical Support EngineerSolution Engineering,JST Lab,company Logo,South Korea,"Map of Gangnam-gu, Seoul","SE System Engineer, DevOps, Infrastructure, Linux, Maintenance",N/A,saramin.co.kr
12/01/2024,DevOps Engineer,Manpower IT Recruitment Notice for All Jobs,Juman Power Group Korea,company Logo,South Korea,"Map of Gangnam-gu, Seoul","SE System Engineer, Data Engineer, DevOps, Infrastructure, Network",N/A,saramin.co.kr
12/11/2024,DevOps Engineer,Career Online Platform Development Architect Planning PMPL Recruitment,I am form,company Logo,South Korea,"Map of Gangnam-gu, Seoul","SE System Engineer, DevOps, Infrastructure, Solutions, Cloud",N/A,saramin.co.kr
12/11/2024,DevOps Engineer,Blockchain Application Backend Developer,Jutessa,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Infrastructure, Cloud, Java",N/A,saramin.co.kr
11/25/2024,DevOps Engineer,Cloud Engineer,HyperExcel,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Infrastructure, Network, Linux",N/A,saramin.co.kr
11/26/2024,DevOps Engineer,Recruitment of Foreign IT Technical Architect Manager level,Amdocs Korea Ltd.,company Logo,South Korea,"Map of Gangnam-gu, Seoul and Bundang-gu, Seongnam-si, Gyeonggi-do","SE System Engineer, DevOps, Linux, Maintenance, Technical Support",N/A,saramin.co.kr
12/02/2024,DevOps Engineer,We are recruiting new SW QA Test Engineers,Comesju,company Logo,South Korea,"Map of Seoul Guro-gu, Gangnam-gu, Jung-gu, Gyeonggi Gwangmyeong-si, and Seongnam-si Bundang-gu","SE System Engineer, DevOps, Infrastructure, Network, Linux",N/A,saramin.co.kr
11/26/2024,DevOps Engineer,Senior Front-end DeveloperEdutech Company,Jubrain Commerce,company Logo,South Korea,"Gangnam-gu, Seoul","DevOps, Maintenance, Java, AI, AWS",N/A,saramin.co.kr
12/01/2024,DevOps Engineer,System EngineerKubernetesOpenstack System EngineerGPUAI,Daoltsjju,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Infrastructure, Network, Linux",N/A,saramin.co.kr
11/15/2024,DevOps Engineer,AInation Deep Learning Engineer Recruitment Experience,JUIAI NATION,company Logo,South Korea,"Map of Seocho-gu, Gangnam-gu, Gwanak-gu, Dongjak-gu, and Songpa-gu in Seoul","DevOps, Linux, Solutions, Cloud, Python",N/A,saramin.co.kr
11/12/2024,DevOps Engineer,Hiring System Engineers,Address Softnet,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Infrastructure, Technical Support, Cloud",N/A,saramin.co.kr
12/12/2024,DevOps Engineer,Hiring System Engineers,Address Softnet,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Infrastructure, Technical Support, Cloud",N/A,saramin.co.kr
11/12/2024,DevOps Engineer,JUSI LAB Kubernetes Engineer Recruitment Experience,Joo Cee Lab,company Logo,South Korea,"Map of Gangnam-gu, Seoul","DevOps, Infrastructure, Network, Solutions, Cloud",N/A,saramin.co.kr
11/14/2024,DevOps Engineer,Devops Developer Recruitment,111 percent stock,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Infrastructure, Network, Cloud",N/A,saramin.co.kr
11/01/2024,DevOps Engineer,PIXELSCOPE Sports AI Automatic Broadcasting New Experience Recruitment,MainPixelscope,company Logo,South Korea,"Map of Gangnam-gu, Seoul","SE System Engineer, Data Engineer, DevOps, Linux, Python",N/A,saramin.co.kr
11/13/2024,DevOps Engineer,Linux Server Technical Support Engineer Experience,Jubien Kwon,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Infrastructure, Linux, Maintenance",N/A,saramin.co.kr
12/04/2024,DevOps Engineer,Food Tech Second Half New Employee Career All Divisions Recruitment,JooFoodTech,company Logo,South Korea,"Seoul Gangnam-gu, Seoul entire map","SE System Engineer, Data Engineer, DevOps, Infrastructure, Network",N/A,saramin.co.kr
12/11/2024,DevOps Engineer,Hiring experienced staff in each department,In the future,company Logo,South Korea,"Map of Seocho-gu, Seoul, Gangnam-gu","Data Engineer, DevOps, Infrastructure, Network, Linux",N/A,saramin.co.kr
12/11/2024,DevOps Engineer,DevOps Engineer Koo Kakao Hair Shop,Jugliti,company Logo,South Korea,"Map of Gangnam-gu, Seoul","DevOps, Infrastructure, Network, Cloud, AWS",N/A,saramin.co.kr
12/02/2024,DevOps Engineer,Security Infrastructure TechOps iGaming Development Global Company,Three Hands3Handz,company Logo,South Korea,"Map of Gangnam-gu, Seoul","SE System Engineer, DevOps, Infrastructure, Cloud, Python",N/A,saramin.co.kr
11/15/2024,DevOps Engineer,Neople Programming Technology Support Job Group Field-specific Recruitment Work Location Seoul,Juneop,company Logo,South Korea,"Map of Gangnam-gu, Seoul","DevOps, Infrastructure, Network, Linux, Solutions",N/A,saramin.co.kr
12/03/2024,DevOps Engineer,IT Monitoring Solutions Engineer Career Recruitment,Main Hyper Information,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Infrastructure, Linux, Maintenance",N/A,saramin.co.kr
11/19/2024,DevOps Engineer,DA Data Architect,Joo Ah In Job,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Infrastructure, SQL, AWS",N/A,saramin.co.kr
11/19/2024,DevOps Engineer,Pixel Software Backend Developer Experience Recruitment,Jupixel Software,company Logo,South Korea,"Map of Gangnam-gu, Seoul","DevOps, Infrastructure, Java, AWS, Docker",N/A,saramin.co.kr
11/20/2024,DevOps Engineer,Nutzy Healthcare Backend Development Industrial Function Agent Military Service Special Case,"Nutzy Healthcare Co., Ltd.",company Logo,South Korea,"Map of Gangnam-gu, Seoul","Data Engineer, DevOps, Network, Java, Data Analyst",N/A,saramin.co.kr
11/21/2024,DevOps Engineer,Career Graph Engineer Recruitment,Owner Force,company Logo,South Korea,"Map of Gangnam-gu, Seoul","Data Engineer, DevOps, Network, Solutions, Cloud",N/A,saramin.co.kr
12/03/2024,DevOps Engineer,Daejeon Chungcheong Customer Technical Support System Engineer Group ICT Affiliate,Juicy Scout,company Logo,South Korea,"Map of Gangnam-gu, Seoul","SE System Engineer, DevOps, Infrastructure, Network, Linux",N/A,saramin.co.kr
12/06/2024,DevOps Engineer,Joopilanet Microsoft Engineer Recruitment,Jupilanet,company Logo,South Korea,"Map of Gangnam-gu, Seoul","SE System Engineer, Data Engineer, DevOps, Network, Linux",N/A,saramin.co.kr
11/14/2024,DevOps Engineer,Blockchain Cloud Engineer Junior,Jubitsum Korea,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Infrastructure, Solutions, Cloud",N/A,saramin.co.kr
12/02/2024,DevOps Engineer,QA Team Engineer Career Recruitment,Juklumel,company Logo,South Korea,"Seoul Gangnam-gu, Seoul entire map","SE System Engineer, Data Engineer, DevOps, Solution, Cloud",N/A,saramin.co.kr
11/20/2024,DevOps Engineer,Hiring Network Engineers,Jupilatech,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Infrastructure, Network, Maintenance",N/A,saramin.co.kr
11/19/2024,DevOps Engineer,Career Backend DeveloperBack End Engineer Recruitment,"Slow Platform Co., Ltd.",company Logo,South Korea,"Map of Gangdong-gu, Gangnam-gu, Seongdong-gu, and Songpa-gu in Seoul","DevOps, Infrastructure, Cloud, Python, SQL",N/A,saramin.co.kr
11/12/2024,DevOps Engineer,Hiring JAVA Developers,Address Softnet,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Maintenance, Cloud, Java",N/A,saramin.co.kr
12/12/2024,DevOps Engineer,Hiring JAVA Developers,Address Softnet,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Maintenance, Cloud, Java",N/A,saramin.co.kr
11/06/2024,DevOps Engineer,Hyperconnect Senior ML Software Engineering Team Leader Chae,Hyperconnect Limited,company Logo,South Korea,"Map of working from home in Gangnam-gu, Seoul","DevOps, Network, Infrastructure, Cloud, Python",N/A,saramin.co.kr
11/15/2024,DevOps Engineer,Linux Server Technical Support Engineer 10 years of experience,Jubien Kwon,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Linux, Maintenance, Infrastructure",N/A,saramin.co.kr
11/21/2024,DevOps Engineer,Linux Server Technical Support Engineer 8+ years of experience,Jubien Kwon,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Linux, Maintenance, Infrastructure",N/A,saramin.co.kr
11/26/2024,DevOps Engineer,Backend DeveloperEdutech Company,Jubrain Commerce,company Logo,South Korea,"Gangnam-gu, Seoul","DevOps, Java, AI, AWS, Docker",N/A,saramin.co.kr
11/25/2024,DevOps Engineer,Backend developer experience 3 to 5 years,Joo Tatum,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","DevOps, Infrastructure, Solutions, Cloud, Python",N/A,saramin.co.kr
11/21/2024,DevOps Engineer,Hiring a Cloud Engineer Team Leader,Golden Planet,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Infrastructure, Technical Support, Cloud",N/A,saramin.co.kr
11/28/2024,DevOps Engineer,Pangyo Robot Startup Computer Vision Engineer Recruitment Research,Juply Leaf,company Logo,South Korea,"Gyeonggi Seongnam-si Bundang-gu, Gyeonggi-do, Seongnam-si, Suwon-si, Anyang-si, Seoul-do, Seoul Gangnam-gu, Gwanak-gu, Seocho-gu, Songpa-gu map","DevOps, Linux, Solutions, Python, C",N/A,saramin.co.kr
11/25/2024,DevOps Engineer,Hiring Backend Engineers,Jukrebus,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","DevOps, Infrastructure, Cloud, Python, Java",N/A,saramin.co.kr
12/10/2024,DevOps Engineer,SCK and Affiliate Cloud Engineer Recruitment Experience,ZUES CC,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Network, Linux, Infrastructure",N/A,saramin.co.kr
11/15/2024,DevOps Engineer,Atlassian Development,Joo Open Source Consulting,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","DevOps, Linux, Maintenance, Solutions, Cloud",N/A,saramin.co.kr
11/14/2024,DevOps Engineer,Blockchain Cloud Engineer Senior,Jubitsum Korea,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Infrastructure, Solutions, Cloud",N/A,saramin.co.kr
02/28/2024,DevOps Engineer,Recruitment for Vehicle SW ICT Management Support Division,Hyundai Autoever,company Logo,South Korea,"Map of Seoul Gangnam-gu, Gyeonggi Gwangmyeong-si, Uiwang-si, and Hwaseong-si","DevOps, Network, Linux, Infrastructure, Solutions",N/A,saramin.co.kr
11/19/2024,DevOps Engineer,BackOffice Integration Services Maintenance Career Recruitment,Jukrebus,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Maintenance, Infrastructure, C",N/A,saramin.co.kr
11/07/2024,DevOps Engineer,Recruitment of Foreign Software Engineer Manager Level,Amdocs Korea Ltd.,company Logo,South Korea,"Map of Gangnam-gu, Seoul and Bundang-gu, Seongnam-si, Gyeonggi-do","SE System Engineer, DevOps, Linux, Maintenance, Solutions",N/A,saramin.co.kr
12/06/2024,DevOps Engineer,Cloud Engineer AWS Service Operations,Jubitsum Korea,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Infrastructure, Solutions, Cloud",N/A,saramin.co.kr
12/03/2024,DevOps Engineer,Software Engineer  ML Product,Play all day and night,company Logo,South Korea,"Map of Gangnam-gu, Seoul","DevOps, Solutions, Technical Support, Cloud, Java",N/A,saramin.co.kr
11/26/2024,DevOps Engineer,Analog RF IC Full Custom layout and verification engineer,JuraNix,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Infrastructure, Solutions, C",N/A,saramin.co.kr
11/26/2024,DevOps Engineer,Analog RF IC Full Custom layout and verification engineer,JuraNix,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Infrastructure, Solutions, C",N/A,saramin.co.kr
11/26/2024,DevOps Engineer,RF Transceiver Chip Design Engineer,JuraNix,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Infrastructure, Solutions, C",N/A,saramin.co.kr
11/07/2024,DevOps Engineer,RD  Data Engineer,Jubanp,company Logo,South Korea,"Map of Gangnam-gu, Seoul","DevOps, Maintenance, Solutions, Python, Java",N/A,saramin.co.kr
11/25/2024,DevOps Engineer,Cloud Infrastructure Engineer,Attard Province,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Network, Infrastructure, Cloud",N/A,saramin.co.kr
12/06/2024,DevOps Engineer,Cloud Engineer AWS Service Operations,Jubitsum Korea,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Infrastructure, Solutions, Cloud",N/A,saramin.co.kr
12/03/2024,DevOps Engineer,IT Infra IT Administrative Engineer,Open Edge Technology Inc.,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Maintenance, Infrastructure, Technical Support",N/A,saramin.co.kr
12/01/2024,DevOps Engineer,Autonomous driving path generation software engineer specialist possible,Joo Ace Works Korea,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Infrastructure, Solutions, Python",N/A,saramin.co.kr
12/03/2024,DevOps Engineer,Backup Solution Technical Support Group ICT Affiliate,Juicy Scout,company Logo,South Korea,"Map of Gangnam-gu, Seoul","SE System Engineer, DevOps, Linux, Maintenance, Infrastructure",N/A,saramin.co.kr
11/25/2024,DevOps Engineer,RD  Backend Engineer,Jubanp,company Logo,South Korea,"Map of Gangnam-gu, Seoul","DevOps, Solutions, Cloud, Python, Web Development",N/A,saramin.co.kr
11/19/2024,DevOps Engineer,Hiring Senior Cloud Infrastructure Engineer,Jualocados,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Network, Infrastructure, Cloud",N/A,saramin.co.kr
11/25/2024,DevOps Engineer,Hiring VPN Backend Server Developer,Attard Province,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Network, Linux, Maintenance",N/A,saramin.co.kr
11/26/2024,DevOps Engineer,Analog Chip Design Engineer,JuraNix,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Infrastructure, Solutions, C",N/A,saramin.co.kr
11/26/2024,DevOps Engineer,Security Logic IP Development Engineer,JuraNix,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Infrastructure, Solutions, C",N/A,saramin.co.kr
11/23/2024,DevOps Engineer,Senior Backend Developer Nodejs,Jukyupist,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Infrastructure, Cloud, Python",N/A,saramin.co.kr
12/06/2024,DevOps Engineer,SRE Engineer,Jubitsum Korea,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Infrastructure, Java, Web Development",N/A,saramin.co.kr
11/26/2024,DevOps Engineer,Analog Chip Design Engineer,JuraNix,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Infrastructure, Solutions, C",N/A,saramin.co.kr
12/06/2024,DevOps Engineer,SRE Common Service Developer,Jubitsum Korea,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Infrastructure, Java, Web Development",N/A,saramin.co.kr
12/03/2024,DevOps Engineer,Microsoft Engineer_Newcomer,Jupilanet,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Infrastructure, Technical Support, Windows",N/A,saramin.co.kr
12/06/2024,DevOps Engineer,Microsoft Engineer_Career,Jupilanet,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Infrastructure, Technical Support, Windows",N/A,saramin.co.kr
11/08/2024,DevOps Engineer,ST Unitas Cloud Engineer Team Level Talent Recruitment,JUSTUNITAS,company Logo,South Korea,"Guro-gu, Seoul","DevOps, Infrastructure, Cloud, Python, AWS",N/A,saramin.co.kr
